OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
1,03,Newton,0,NEWTON,10/20/2020 12:00:00 AM,54550,3100,047,2, ,789,815,NWT,1430705,773ccaed-22b4-4237-ba15-17315a94a7d5,4009108.734375,8948.89482748796
2,12,Eureka,0,EUREKA,,24080,3010,009,2, ,662,657,EUR,1437974,3ef04b24-1a05-4355-a900-d8c59ff118ae,6387833.85546875,12832.3661266012
3,29,Huntsville,0,HUNTSVILLE,5/2/2024 12:00:00 AM,37060,3030,019,4,Huntsville,573,593,HVL,1428949,f0274f4c-4dba-4475-97bb-329012e9c691,14333320.9147587,24584.9983747535
4,27,Springdale,0,SPRINGDALE,,71840,3100,023,2,Springdale,514,576,SPD,1432867,9d93a698-af3a-48d3-9a9e-d49b1a39b74c,18782625.8632813,23966.3865678998
5,23,Grantsville,0,GRANTSVILLE,2/8/2022 12:00:00 AM,31120,3010,023,2, ,12617,14417,GRA,1428338,d6bb102d-36fa-415b-947f-959c60413b85,183522345.857512,112936.761972719
6,18,Bluffdale,0,BLUFFDALE (SL CO),11/15/2018 12:00:00 AM,06810,3020,019,4,,17014,19080,BDL,1425844,74e39ca4-b9fb-46d7-832a-2d58694c059b,46710621.6709557,38425.7179106009
7,19,Blanding,0,BLANDING,5/24/2024 12:00:00 AM,06370,3010,002,1,Blanding,3394,3229,BLA,1438903,13b8b47e-f58b-489b-961e-3547d8de4ed7,54719927.7265625,69639.6525896717
8,18,Herriman,0,HERRIMAN TOWN,2/7/2022 12:00:00 AM,34970,3035,060,1, ,55144,59179,HER,1428675,eb720681-9273-4d0e-9fe0-fcb4ac03ae4e,103638384.745285,77262.5743921389
9,12,Levan,0,LEVAN,3/19/2012 12:00:00 AM,44650,3020,019,3, ,862,892,LEV,1442564,b4f67322-d3fc-4869-87e3-940443ed45c2,3482854.30859375,8700.35652503489
10,09,Panguitch,1,PANGUITCH,10/13/2023 12:00:00 AM,57740,3070,011,4,Panguitch,1725,1785,PAN,1444170,3c949898-ffcc-423f-a1a5-10b0156b5ade,13458716.4847684,28457.6553708572
11,11,Cedar City,0,CEDAR CITY,5/20/2026 12:00:00 AM,11320,3020,003,1,Cedar City,35235,38692,CDC,1426441,c92ef107-e6cc-4466-93d1-05dfc9b1d150,151314001.101563,149138.531283368
